state,median,lower_bound,upper_bound,median_100k,lower_bound_100k,upper_bound_100k,group
rhode island,2.42748691541117e-4,2.46191352381642e-5,6.76327239759335e-4,24.2748691541117,2.46191352381642,67.6327239759335,Marginal
south carolina,5.42031568861775e-4,1.01722511535766e-4,0.00115771909814373,54.203156886177496,10.1722511535766,115.771909814373,Marginal
south dakota,-1.67864476855769e-5,-2.22535661722265e-4,1.47453534319295e-4,-1.6786447685576902,-22.2535661722265,14.7453534319295,Marginal
tennessee,3.76741902573625e-4,-3.38862175444581e-5,0.00118196309131094,37.6741902573625,-3.3886217544458104,118.196309131094,Marginal
texas,8.60945896521771e-4,1.71271749926428e-4,0.00170830767701332,86.0945896521771,17.1271749926428,170.830767701332,Marginal
utah,1.27205068642777e-4,1.95877963040218e-5,3.12345654827497e-4,12.7205068642777,1.95877963040218,31.234565482749698,Marginal
vermont,8.36461783242572e-5,-1.20574434957476e-4,3.99766402477783e-4,8.364617832425719,-12.0574434957476,39.9766402477783,Marginal
virginia,4.09557326539794e-4,8.23799633038419e-5,8.82914454319903e-4,40.9557326539794,8.23799633038419,88.2914454319903,Marginal
washington,-1.41562102627863e-4,-4.9716141784776e-4,4.1799848670009e-5,-14.1562102627863,-49.71614178477599,4.1799848670009006,Marginal
wisconsin,2.99517204170371e-4,5.18534800034939e-5,6.51096113016831e-4,29.951720417037098,5.18534800034939,65.1096113016831,Marginal
wyoming,-5.6427452927941e-5,-3.0434259294681e-4,8.87026812003758e-5,-5.642745292794101,-30.434259294681002,8.870268120037581,Marginal
state_sum,0.0118469859052329,-0.00172090799425049,0.0298786726704082,1184.69859052329,-172.090799425049,2987.86726704082,Marginal
alabama,4.50557248188903e-4,8.9775574762675e-5,9.71766619696195e-4,45.0557248188903,8.9775574762675,97.1766619696195,Female
arkansas,3.47858453828255e-4,4.53543043174642e-5,8.83343105947307e-4,34.7858453828255,4.53543043174642,88.3343105947307,Female
california,1.37839967542423e-4,2.45517060322244e-5,3.2747268872979e-4,13.7839967542423,2.45517060322244,32.747268872979,Female
colorado,1.17046618127874e-4,1.46254204656957e-5,3.27598869489441e-4,11.7046618127874,1.46254204656957,32.7598869489441,Female
connecticut,2.97883906701699e-4,5.32174072718465e-5,7.31506949974108e-4,29.7883906701699,5.3217407271846495,73.1506949974108,Female
florida,8.40586431037642e-4,1.61151019861907e-4,0.00174673401808003,84.0586431037642,16.115101986190698,174.673401808003,Female
georgia,6.44817700514282e-4,1.28933856849801e-4,0.00135780801682671,64.4817700514282,12.893385684980101,135.780801682671,Female
idaho,1.09531929725311e-4,3.14496501158302e-6,0.00034799426662114797,10.9531929725311,0.314496501158302,34.7994266621148,Female
illinois,2.90819372508614e-4,5.13318404006798e-5,6.73588928706538e-4,29.0819372508614,5.13318404006798,67.3588928706538,Female
indiana,2.43066779047841e-4,4.12485441438803e-5,6.09575899777099e-4,24.3066779047841,4.12485441438803,60.957589977709894,Female
iowa,3.35504831897791e-4,6.31184158612637e-5,7.1358094542323e-4,33.5504831897791,6.311841586126369,71.35809454232299,Female
kansas,-8.5231104026687e-5,-4.89610539840821e-4,1.84380898415028e-4,-8.523110402668701,-48.961053984082106,18.438089841502798,Female
kentucky,2.54431222731076e-4,4.48497143114733e-5,5.60963605836851e-4,25.443122273107598,4.48497143114733,56.0963605836851,Female
louisiana,7.62920379178436e-4,1.66347241097515e-4,0.00158463020463629,76.2920379178436,16.634724109751502,158.463020463629,Female
maine,2.25936748879289e-4,3.15996643033883e-5,5.9108353585391e-4,22.5936748879289,3.1599664303388297,59.108353585391,Female
maryland,1.61844942097186e-4,8.70365291496072e-6,4.73917249169849e-4,16.1844942097186,0.870365291496072,47.3917249169849,Female
maryland,1.58218758561774e-4,9.83859073066978e-6,4.91650527379173e-4,15.821875856177401,0.9838590730669781,49.16505273791731,Female
massachusetts,4.3042850163425e-4,8.09307506254652e-5,9.66532361394366e-4,43.042850163425,8.09307506254652,96.6532361394366,Female
michigan,1.12613354353888e-4,1.18965757182005e-5,3.1354742687897e-4,11.2613354353888,1.18965757182005,31.354742687897,Female
