state,median,lower_bound,upper_bound,median_100k,lower_bound_100k,upper_bound_100k,group
wyoming,-5.78692949244331e-5,-3.02699726334791e-4,8.95021427027724e-5,-5.78692949244331,-30.2699726334791,8.95021427027724,Marginal
iowa,3.82094381067425e-4,7.03705919555632e-5,7.91891242844071e-4,38.209438106742496,7.03705919555632,79.1891242844071,Marginal
massachusetts,5.02256896781413e-4,1.05528112148513e-4,0.00107226180354204,50.2256896781413,10.5528112148513,107.22618035420399,Marginal
north dakota,-6.31907429811748e-5,-3.02040345624136e-4,8.27945906877979e-5,-6.319074298117481,-30.204034562413597,8.27945906877979,Marginal
idaho,1.26223113156161e-4,2.14552380965715e-6,3.82266772668013e-4,12.6223113156161,0.214552380965715,38.226677266801296,Marginal
virginia,4.04022915206522e-4,7.11897334908244e-5,8.85773695166293e-4,40.4022915206522,7.118973349082441,88.5773695166293,Marginal
minnesota,-7.84723430112816e-5,-2.75081578700778e-4,2.94332624004194e-5,-7.84723430112816,-27.5081578700778,2.94332624004194,Marginal
south dakota,-1.81157471251529e-5,-2.16019223430829e-4,1.50862459059334e-4,-1.8115747125152901,-21.6019223430829,15.086245905933401,Marginal
state_sum,0.00980434859529612,-0.00204703636770794,0.0254398072426566,980.434859529612,-204.703636770794,2543.9807242656602,Marginal
alabama,4.54514636886357e-4,8.65796161109991e-5,9.74541688541901e-4,45.4514636886357,8.65796161109991,97.4541688541901,Female
california,1.38573119962552e-4,2.51192739584288e-5,3.2113773610422e-4,13.8573119962552,2.51192739584288,32.113773610422,Female
connecticut,2.99353178907771e-4,5.27878192046873e-5,7.39620092980613e-4,29.9353178907771,5.27878192046873,73.9620092980613,Female
maryland,1.58665870515232e-4,7.9562225749895e-6,4.85330184983603e-4,15.8665870515232,0.7956222574989501,48.5330184983603,Female
georgia,6.43272252805707e-4,1.18067901623083e-4,0.00134807310279353,64.3272252805707,11.8067901623083,134.807310279353,Female
illinois,2.92602790379024e-4,5.31249668497687e-5,6.66388345564784e-4,29.2602790379024,5.31249668497687,66.6388345564784,Female
indiana,2.44702756328248e-4,4.12413653296179e-5,6.07943498110944e-4,24.470275632824798,4.12413653296179,60.7943498110944,Female
kansas,-8.20126938690322e-5,-4.79899900888237e-4,1.76611136464595e-4,-8.20126938690322,-47.9899900888237,17.661113646459498,Female
kentucky,2.56823032915689e-4,4.68292718699347e-5,5.67436975581595e-4,25.6823032915689,4.68292718699347,56.743697558159504,Female
louisiana,7.69482836204177e-4,1.4975411717275e-4,0.00162322118781959,76.9482836204177,14.975411717275001,162.322118781959,Female
maryland,1.5749760384617e-4,7.6471842512397e-6,4.83224296246992e-4,15.749760384617,0.7647184251239699,48.3224296246992,Female
maine,2.24243543177917e-4,3.33766053021249e-5,5.91007371744287e-4,22.4243543177917,3.3376605302124895,59.1007371744287,Female
michigan,1.12434969938475e-4,1.43660395026116e-5,3.10441160095092e-4,11.243496993847499,1.43660395026116,31.044116009509196,Female
missouri,2.58657320086023e-4,4.29785108895847e-5,6.29730497617441e-4,25.865732008602297,4.2978510889584705,62.97304976174409,Female
mississippi,5.96965028529017e-4,1.13823458111836e-4,0.00127891592021626,59.6965028529017,11.3823458111836,127.891592021626,Female
montana,-5.80429012636678e-5,-2.38245367189062e-4,3.82497562977387e-5,-5.80429012636678,-23.8245367189062,3.82497562977387,Female
north carolina,3.29447512706046e-4,6.09373611002418e-5,7.14392599502072e-4,32.9447512706046,6.09373611002418,71.4392599502072,Female
new hampshire,5.54660016020864e-5,-8.98970484579294e-5,2.97095380623758e-4,5.54660016020864,-8.98970484579294,29.7095380623758,Female
new jersey,2.17968246789859e-4,3.06525311584465e-5,5.6478064265079e-4,21.7968246789859,3.06525311584465,56.478064265079,Female
new mexico,4.11268546920494e-5,-2.78950744180118e-5,1.67951752466925e-4,4.11268546920494,-2.78950744180118,16.7951752466925,Female
nevada,5.7607584694820303e-05,-1.771324754916e-7,1.87279964609668e-4,5.76075846948203,-0.01771324754916,18.7279964609668,Female
new york,3.98595792916864e-4,7.63284708275118e-5,8.82677713796922e-4,39.8595792916864,7.63284708275118,88.26777137969219,Female
ohio,3.52312816965223e-4,6.50461120790355e-5,7.7934657823115e-4,35.231281696522295,6.504611207903551,77.934657823115,Female
oklahoma,1.33124761220555e-4,6.02471705473637e-6,3.77948930951595e-4,13.3124761220555,0.602471705473637,37.7948930951595,Female
oregon,-3.40459282708896e-4,-9.36065877660866e-4,-3.32980550874255e-5,-34.0459282708896,-93.6065877660866,-3.3298055087425498,Female
pennsylvania,1.31423414552446e-4,3.00546115422615e-6,4.08183396901673e-4,13.142341455244601,0.300546115422615,40.8183396901673,Female
rhode island,2.12646470848418e-4,2.7546861227819e-5,6.16203540600335e-4,21.264647084841798,2.7546861227819,61.6203540600335,Female
