state,strata,pop_at_risk,delta_o3,do3_se,n_smoky,yo,yo_se,beta,beta_se
massachusetts,black,173673,7.4387867604117215,1.0339974576719628,26.375,0.0095,4e-4,0.0095,0.004
michigan,white,1854412,2.707859151784442,0.9364894444155839,19.555555555555557,0.0095,4e-4,0.0095,0.004
michigan,black,464361,2.707859151784442,0.9364894444155839,19.555555555555557,0.0095,4e-4,0.0095,0.004
minnesota,white,1088140,-0.7041228825706584,0.4785995141040938,45.8,0.0095,4e-4,0.0095,0.004
minnesota,black,134479,-0.7041228825706584,0.4785995141040938,45.8,0.0095,4e-4,0.0095,0.004
mississippi,white,409281,8.811740792233623,0.8218515652930607,30.5,0.0095,4e-4,0.0095,0.004
mississippi,black,343435,8.811740792233623,0.8218515652930607,30.5,0.0095,4e-4,0.0095,0.004
missouri,white,1185110,4.381615478641194,1.0447475508989015,26.666666666666668,0.0095,4e-4,0.0095,0.004
missouri,black,238215,4.381615478641194,1.0447475508989015,26.666666666666668,0.0095,4e-4,0.0095,0.004
montana,white,197769,-1.3035954384973885,1.0421519238620696,21.5,0.0095,4e-4,0.0095,0.004
montana,black,3853,-1.3035954384973885,1.0421519238620696,21.5,0.0095,4e-4,0.0095,0.004
nebraska,white,411023,NA,NA,NA,0.0095,4e-4,0.0095,0.004
nebraska,black,39112,NA,NA,NA,0.0095,4e-4,0.0095,0.004
nevada,white,534435,1.871937419137972,0.8917961588037685,14.833333333333334,0.0095,4e-4,0.0095,0.004
nevada,black,85191,1.871937419137972,0.8917961588037685,14.833333333333334,0.0095,4e-4,0.0095,0.004
new hampshire,white,273227,2.237445716467837,2.541148106038089,13,0.0095,4e-4,0.0095,0.004
new hampshire,black,9345,2.237445716467837,2.541148106038089,13,0.0095,4e-4,0.0095,0.004
new jersey,white,1512964,4.30348065040259,1.2391849341743608,23.4,0.0095,4e-4,0.0095,0.004
new jersey,black,388695,4.30348065040259,1.2391849341743608,23.4,0.0095,4e-4,0.0095,0.004
new mexico,white,428858,0.6665321870912665,0.5388803058273527,30,0.0095,4e-4,0.0095,0.004
new mexico,black,21714,0.6665321870912665,0.5388803058273527,30,0.0095,4e-4,0.0095,0.004
new york,white,3064048,7.4138704827253585,0.9932147514156776,24.555555555555557,0.0095,4e-4,0.0095,0.004
new york,black,977170,7.4138704827253585,0.9932147514156776,24.555555555555557,0.0095,4e-4,0.0095,0.004
north carolina,white,1598805,4.840678002978285,0.5736152916373429,30.071428571428573,0.0095,4e-4,0.0095,0.004
