state,strata,pop_at_risk,par_se,delta_o3,do3_se,n_smoky,yo,yo_se,beta,beta_se
nevada,female,20498.789676759767,1910.092269507796,1.871937419137972,0.8917961588037685,14.833333333333334,0.093,0.011,0.0095,0.004
new york,female,178160.6975678386,10881.30393676532,7.4138704827253585,0.9932147514156776,24.555555555555557,0.093,0.011,0.0095,0.004
ohio,female,91815.77358713104,4617.024749668256,4.487444605592271,0.6712301432237828,34.7,0.093,0.011,0.0095,0.004
oklahoma,female,37403.426073884744,1722.8317545996345,1.5967475445049761,0.6832444024849943,38.5,0.093,0.011,0.0095,0.004
oregon,female,29809.964175606787,1704.946338422318,-2.307054093695364,0.8829536735269498,66,0.093,0.011,0.0095,0.004
pennsylvania,female,105191.153086856,4367.016843056365,3.0428047621702374,1.4190406756386476,21,0.093,0.011,0.0095,0.004
rhode island,female,10433.898178092672,589.419147733126,9.441467473122215,3.131711620208615,11,0.093,0.011,0.0095,0.004
tennessee,female,44803.05749279698,5013.793916383628,4.68384975022509,2.4304900946000103,34,0.093,0.011,0.0095,0.004
texas,female,226602.36547723983,11121.253437308125,8.28196927028711,0.43850714056189105,39.774193548387096,0.093,0.011,0.0095,0.004
united states,female,1463683.1320874128,19902.730832118334,NA,NA,NA,0.093,0.011,0.0095,0.004
utah,female,23360.0582657734,961.0755383595293,1.7515251966871814,0.46796759517952496,28.363636363636363,0.093,0.011,0.0095,0.004
vermont,female,4954.38883998288,237.76575947010753,1.554207848288739,1.6832133021522477,23.5,0.093,0.011,0.0095,0.004
washington,female,43174.99529388048,2173.9365922138527,-1.4450958974156776,0.9305305755491331,40.8,0.093,0.011,0.0095,0.004
wisconsin,female,41459.90310369142,2852.280916991296,3.243078926509611,0.5635039627903868,35.5,0.093,0.011,0.0095,0.004
west virginia,female,14138.035596647893,777.18035365798,NA,NA,NA,0.093,0.011,0.0095,0.004
arizona,female,52002.491616682935,4345.087725852221,NA,NA,NA,0.093,0.011,0.0095,0.004
wyoming,female,3273.880033606339,302.8921361477251,-1.2179716558722333,1.3851694294986299,21,0.093,0.011,0.0095,0.004
iowa,female,17063.527492455873,1233.9423822308065,3.283443042393354,0.4158930464722037,44.07142857142857,0.093,0.011,0.0095,0.004
massachusetts,female,54411.24158248332,4949.534902858682,7.4387867604117215,1.0339974576719628,26.375,0.093,0.011,0.0095,0.004
north dakota,female,3019.235240851057,354.63145500441556,-0.718660945854715,0.7665008905414159,38,0.093,0.011,0.0095,0.004
delaware,female,11298,1685.204081632653,NA,NA,NA,0.093,0.011,0.0095,0.004
idaho,female,8792.926826036659,800.5292689384398,2.8246969056976874,1.3134345461504757,18.5,0.093,0.011,0.0095,0.004
virginia,female,58205.849957180006,4438.474724708439,8.115727586591744,0.9121610391909646,19.571428571428573,0.093,0.011,0.0095,0.004
minnesota,female,30402.482853955556,4200.343136451847,-0.7041228825706584,0.4785995141040938,45.8,0.093,0.011,0.0095,0.004
south dakota,female,5041,918.8775510204082,-0.2977262750285157,1.0226923324606185,27.333333333333332,0.093,0.011,0.0095,0.004
alabama,male,71246.78062246373,4682.600311603664,6.168036540793379,0.855377499605896,32.42857142857143,0.118,0.013,0.0095,0.004
